X,1 Layers,2 Layers,3 Layers,4 Layers,5 Layers,6 Layers,7 Layers,8 Layers,9 Layers,10 Layers
10 MB,0.005081892013549805,0.004577159881591797,0.004801034927368164,0.005167961120605469,0.005630970001220703,0.005805015563964844,0.006587982177734375,0.0064389705657958984,0.007093906402587891,0.006740093231201172
11 MB,0.003983020782470703,0.003962993621826172,0.0043888092041015625,0.004981040954589844,0.0057010650634765625,0.005460023880004883,0.006062984466552734,0.006757020950317383,0.006675004959106445,0.0073659420013427734
12 MB,0.004239082336425781,0.004254817962646484,0.004467964172363281,0.005255937576293945,0.0051441192626953125,0.005369901657104492,0.006623983383178711,0.006678104400634766,0.007965087890625,0.006953001022338867
13 MB,0.004014015197753906,0.004088878631591797,0.004942893981933594,0.0050928592681884766,0.0054590702056884766,0.008008956909179688,0.007838964462280273,0.006971120834350586,0.006688833236694336,0.007477998733520508
14 MB,0.0040090084075927734,0.003992795944213867,0.005141019821166992,0.005316972732543945,0.005651950836181641,0.0054399967193603516,0.006510019302368164,0.006384134292602539,0.007511138916015625,0.006953001022338867
15 MB,0.004080057144165039,0.004019021987915039,0.004936933517456055,0.006093025207519531,0.005558967590332031,0.005313873291015625,0.005712985992431641,0.006804943084716797,0.007119178771972656,0.0074880123138427734
16 MB,0.004055023193359375,0.004396200180053711,0.004770994186401367,0.004914045333862305,0.00491786003112793,0.00539398193359375,0.006796836853027344,0.007174968719482422,0.00692296028137207,0.0074901580810546875
17 MB,0.003964900970458984,0.004064083099365234,0.005001068115234375,0.004708766937255859,0.0058269500732421875,0.005416154861450195,0.0070459842681884766,0.0065059661865234375,0.007529020309448242,0.008131980895996094
18 MB,0.0043179988861083984,0.00403904914855957,0.004287004470825195,0.0050640106201171875,0.005089998245239258,0.007453203201293945,0.005941867828369141,0.006525993347167969,0.007155895233154297,0.008773088455200195
19 MB,0.00483393669128418,0.0048980712890625,0.004528045654296875,0.004976034164428711,0.005795955657958984,0.005273103713989258,0.005694866180419922,0.0063321590423583984,0.008543968200683594,0.00739288330078125
20 MB,0.003979921340942383,0.004019975662231445,0.004359006881713867,0.00573420524597168,0.0051860809326171875,0.006474971771240234,0.005675077438354492,0.006217002868652344,0.006927967071533203,0.0069081783294677734
